File_Name,positive_score,negative_score,polarity_score,subjectivity_score,avg_sentence_length,percentage_complex_words,fog_index,avg_words_per_sentence,word_count,syllable_per_word,personal_pronoun_count,avg_word_length
blackassign0003.txt,0,0,0.0,0.0,23.59016393442623,25.295343988881168,19.55420316932296,23.59016393442623,1439,1.758860319666435,2,7.91128010139417
blackassign0013.txt,0,0,0.0,0.0,30.379310344827587,20.998864926220204,20.551270108419118,30.379310344827587,881,1.6367763904653803,1,7.598253275109171
blackassign0043.txt,2,0,0.99999950000025,0.002002001999997996,23.352941176470587,16.423173803526446,15.910445991998813,23.352941176470587,1985,1.4690176322418136,2,6.792792792792793
blackassign0089.txt,0,0,0.0,0.0,25.0,16.076923076923077,16.430769230769233,25.0,1300,1.4715384615384615,1,6.812688821752266
blackassign0011.txt,0,0,0.0,0.0,25.0,23.380281690140844,19.35211267605634,25.0,1775,1.6873239436619718,1,7.621900826446281
blackassign0010.txt,0,0,0.0,0.0,23.61904761904762,21.219758064516128,17.9355222734255,23.61904761904762,1984,1.5700604838709677,1,7.623655913978495
blackassign0017.txt,0,0,0.0,0.0,21.746268656716417,18.256691832532603,16.001184195699608,21.746268656716417,1457,1.5552505147563487,1,7.218112244897959
blackassign0063.txt,1,0,0.9999990000010001,0.003174603164525069,24.5,17.582417582417584,16.832967032967034,24.5,637,1.5211930926216641,2,6.920634920634921
blackassign0030.txt,2,0,0.99999950000025,0.002283105020224766,22.166666666666668,13.26530612244898,14.17278911564626,22.166666666666668,1862,1.3582169709989258,4,6.617579908675799
blackassign0009.txt,0,0,0.0,0.0,21.540983606557376,25.799086757990867,18.936028145819296,21.540983606557376,1314,1.7625570776255708,1,7.8283093053735255
blackassign0022.txt,0,0,0.0,0.0,22.161290322580644,18.049490538573508,16.08431234446166,22.161290322580644,687,1.5283842794759825,1,7.121037463976945
blackassign0031.txt,1,0,0.9999990000010001,0.0008936550483524083,23.95505617977528,18.621013133208255,17.030427725193416,23.95505617977528,2132,1.5656660412757974,3,7.267202859696157
blackassign0037.txt,3,-1,1.9999990000005,0.003861003853550186,25.575,14.076246334310852,15.860498533724343,25.575,1023,1.4164222873900294,1,6.602316602316602
blackassign0005.txt,0,0,0.0,0.0,22.906976744186046,19.086294416243653,16.79730846417188,22.906976744186046,985,1.5857868020304569,1,7.195530726256983
blackassign0075.txt,1,-1,2000000.0,0.0,18.22077922077922,12.829650748396293,12.420171987670207,18.22077922077922,1403,1.359942979330007,3,6.691943127962086
blackassign0040.txt,1,0,0.9999990000010001,0.00123456789971041,24.5,18.828176431863067,17.33127057274523,24.5,1519,1.5839368005266623,4,7.2592592592592595
blackassign0081.txt,0,0,0.0,0.0,24.597701149425287,13.878504672897197,15.390482328928995,24.597701149425287,2140,1.4490654205607476,5,6.85577841451767
blackassign0083.txt,0,0,0.0,0.0,35.63636363636363,19.132653061224488,21.90760667903525,35.63636363636363,392,1.5408163265306123,2,6.995283018867925
blackassign0026.txt,2,-1,2.9999970000030003,0.0015174506805501508,27.377777777777776,17.126623376623375,17.801760461760463,27.377777777777776,1232,1.5016233766233766,1,6.822458270106222
blackassign0069.txt,3,0,0.9999996666667778,0.008152173890890832,37.55,17.44340878828229,21.997363515312916,37.55,751,1.478029294274301,2,6.9103260869565215
blackassign0012.txt,1,-1,2000000.0,0.0,24.642857142857142,15.265700483091788,15.963423050379573,24.642857142857142,2070,1.5082125603864733,1,7.368
blackassign0061.txt,0,0,0.0,0.0,27.38888888888889,18.864097363083165,18.501194500788824,27.38888888888889,986,1.5933062880324544,1,7.359848484848484
blackassign0062.txt,0,0,0.0,0.0,43.55555555555556,19.642857142857142,25.27936507936508,43.55555555555556,392,1.5637755102040816,2,6.976525821596244
blackassign0070.txt,2,0,0.99999950000025,0.001936108420197378,27.283783783783782,15.403665180782566,17.07497958582654,27.283783783783782,2019,1.4720158494304112,3,6.787996127783156
blackassign0078.txt,0,0,0.0,0.0,36.10344827586207,16.236867239732568,20.93612620623786,36.10344827586207,1047,1.527220630372493,1,7.028520499108734
blackassign0097.txt,0,0,0.0,0.0,33.976190476190474,14.01541695865452,19.196642973937998,33.976190476190474,1427,1.4008409250175193,2,6.637059724349157
blackassign0100.txt,0,0,0.0,0.0,37.14705882352941,17.577197149643705,21.889702389269246,37.14705882352941,1263,1.5075217735550277,1,6.974481658692185
